Date : 2020-04-29 18:03:36
Directory : /workspace/WSNets
Total : 189 files,  21875 codes, 3764 comments, 4417 blanks, all 30056 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        107 |     10,360 |      3,474 |      2,755 |     16,589 |
| JSON             |         11 |      4,745 |          0 |         10 |      4,755 |
| Markdown         |         32 |      2,244 |         71 |      1,039 |      3,354 |
| C++              |         11 |      1,868 |        150 |        273 |      2,291 |
| Properties       |          2 |        797 |         39 |        160 |        996 |
| Jupyter          |          4 |        719 |          0 |          4 |        723 |
| Shell Script     |          5 |        713 |         26 |        156 |        895 |
| YAML             |         16 |        420 |          4 |         19 |        443 |
| pip requirements |          1 |          9 |          0 |          1 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        189 |     21,875 |      3,764 |      4,417 |     30,056 |
| .ipynb_checkpoints                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| Config                                                                                                              |          7 |        143 |          0 |         25 |        168 |
| Data                                                                                                                |         30 |      6,099 |        395 |        452 |      6,946 |
| Data/DataSets                                                                                                       |         11 |        492 |        158 |        148 |        798 |
| Data/DataSets/COCO                                                                                                  |          3 |        135 |        135 |         44 |        314 |
| Data/DataSets/CitysCapes                                                                                            |          2 |        110 |          5 |         34 |        149 |
| Data/DataSets/NPY                                                                                                   |          4 |        144 |          9 |         35 |        188 |
| Data/DataSets/PascalVoc                                                                                             |          1 |        103 |          9 |         34 |        146 |
| Data/Toolkit                                                                                                        |         16 |      5,408 |        216 |        239 |      5,863 |
| Data/Toolkit/dataset                                                                                                |          5 |      4,657 |          0 |          0 |      4,657 |
| Data/Toolkit/dataset/train2014                                                                                      |          4 |      2,984 |          0 |          0 |      2,984 |
| Data/Toolkit/spacenet                                                                                               |          2 |          0 |          0 |          2 |          2 |
| Resources                                                                                                           |         11 |      1,986 |         18 |        699 |      2,703 |
| Resources/Document                                                                                                  |          6 |        719 |          0 |        196 |        915 |
| Resources/WikiResources                                                                                             |          5 |      1,267 |         18 |        503 |      1,788 |
| Resources/WikiResources/.ipynb_checkpoints                                                                          |          2 |        463 |          0 |        229 |        692 |
| Src                                                                                                                 |        136 |     13,599 |      3,325 |      3,188 |     20,112 |
| Src/Nets                                                                                                            |        115 |     11,666 |      2,125 |      2,281 |     16,072 |
| Src/Nets/BackBone                                                                                                   |          8 |      1,143 |        125 |        267 |      1,535 |
| Src/Nets/BackBone/efficientnet                                                                                      |          3 |        337 |         97 |         94 |        528 |
| Src/Nets/Caption                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| Src/Nets/Detection                                                                                                  |         18 |      2,511 |        235 |        571 |      3,317 |
| Src/Nets/Detection/yolov3                                                                                           |         17 |      2,511 |        235 |        570 |      3,316 |
| Src/Nets/Detection/yolov3/config                                                                                    |          3 |      1,448 |         50 |        293 |      1,791 |
| Src/Nets/Detection/yolov3/data                                                                                      |          1 |         17 |          7 |          9 |         33 |
| Src/Nets/Detection/yolov3/utils                                                                                     |          6 |        335 |        103 |        102 |        540 |
| Src/Nets/Detection/yolov3/weights                                                                                   |          1 |          3 |          4 |          1 |          8 |
| Src/Nets/InstanceSegmentation                                                                                       |          2 |          1 |          0 |          1 |          2 |
| Src/Nets/KeyPoint                                                                                                   |          1 |          0 |         24 |          3 |         27 |
| Src/Nets/Layers                                                                                                     |         22 |      2,790 |        579 |        452 |      3,821 |
| Src/Nets/Layers/csrc                                                                                                |         12 |      1,872 |        150 |        277 |      2,299 |
| Src/Nets/Layers/csrc/ROIAlign                                                                                       |          2 |        530 |         31 |         74 |        635 |
| Src/Nets/Layers/csrc/ROIAlignRotated                                                                                |          2 |        507 |         48 |         81 |        636 |
| Src/Nets/Layers/csrc/box_iou_rotated                                                                                |          3 |        306 |         56 |         64 |        426 |
| Src/Nets/Layers/csrc/deformable                                                                                     |          1 |        363 |          1 |         14 |        378 |
| Src/Nets/Layers/csrc/nms_rotated                                                                                    |          2 |         82 |          9 |         22 |        113 |
| Src/Nets/MOT                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| Src/Nets/Module                                                                                                     |         49 |      4,807 |        876 |        839 |      6,522 |
| Src/Nets/Module/DensePose                                                                                           |         37 |      4,180 |        608 |        713 |      5,501 |
| Src/Nets/Module/DensePose/configs                                                                                   |         11 |        154 |          3 |         13 |        170 |
| Src/Nets/Module/DensePose/configs/quick_schedules                                                                   |          4 |         41 |          0 |          5 |         46 |
| Src/Nets/Module/DensePose/densepose                                                                                 |         15 |      3,148 |        565 |        499 |      4,212 |
| Src/Nets/Module/DensePose/densepose/utils                                                                           |          2 |        101 |         30 |         29 |        160 |
| Src/Nets/Module/DensePose/densepose/vis                                                                             |          4 |        790 |         35 |        138 |        963 |
| Src/Nets/Module/DensePose/dev                                                                                       |          3 |         47 |          4 |         16 |         67 |
| Src/Nets/Module/DensePose/doc                                                                                       |          4 |        285 |          5 |         73 |        363 |
| Src/Nets/Module/PointRend                                                                                           |         12 |        627 |        268 |        126 |      1,021 |
| Src/Nets/Module/PointRend/configs                                                                                   |          4 |         58 |          1 |          4 |         63 |
| Src/Nets/Module/PointRend/configs/InstanceSegmentation                                                              |          4 |         58 |          1 |          4 |         63 |
| Src/Nets/Module/PointRend/point_rend                                                                                |          6 |        413 |        240 |         83 |        736 |
| Src/Nets/Segmentation                                                                                               |         11 |        398 |        286 |        135 |        819 |
| Src/Nets/Segmentation/DeeplabSeries                                                                                 |         10 |        398 |        273 |        133 |        804 |
| Src/Nets/Segmentation/DeeplabSeries/v3plus                                                                          |          9 |        398 |        249 |        130 |        777 |
| Src/Nets/Segmentation/DeeplabSeries/v3plus/sync_batchnorm                                                           |          5 |        201 |        247 |         94 |        542 |
| Src/Notebook                                                                                                        |          2 |        319 |          0 |          2 |        321 |
| Src/Notebook/.ipynb_checkpoints                                                                                     |          1 |        162 |          0 |          1 |        163 |
| Src/Utils                                                                                                           |         14 |      1,133 |        780 |        599 |      2,512 |
| Src/Utils/Evaluator                                                                                                 |          2 |         38 |          0 |         14 |         52 |
| Src/Utils/Transform                                                                                                 |          9 |        787 |        752 |        494 |      2,033 |
| Src/Utils/Transform/box                                                                                             |          3 |        353 |        574 |        301 |      1,228 |
| Src/Utils/Transform/mask                                                                                            |          2 |        207 |         34 |         51 |        292 |
| Src/Utils/temp                                                                                                      |          1 |        272 |         28 |         51 |        351 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                            | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /workspace/WSNets/.ipynb_checkpoints/untitled-checkpoint.md                                                         | Markdown         |          0 |          0 |          1 |          1 |
| /workspace/WSNets/Config/Demo.json                                                                                  | JSON             |         44 |          0 |          4 |         48 |
